file-path,true-srcloc,reasons,number-of-false-positive,false-positive
/exp/blackscholes/constant-swap/mutant53/mutant53-static/1.grift,#(struct:srcloc 1.grift 112 39 4930 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4903 49))
/exp/blackscholes/constant-swap/mutant53/mutant53-static/2.grift,#(struct:srcloc 2.grift 112 39 4869 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4842 49))
/exp/blackscholes/constant-swap/mutant53/mutant53-static/4.grift,#(struct:srcloc 4.grift 112 39 4890 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4863 49))
/exp/blackscholes/constant-swap/mutant53/mutant53-static/5.grift,#(struct:srcloc 5.grift 112 39 4852 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4825 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static.grift,#(struct:srcloc mutant56-static.grift 203 44 5845 9),bug-loc,1, (#(struct:srcloc mutant56-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/0.grift,#(struct:srcloc 0.grift 112 47 4949 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/2.grift,#(struct:srcloc 2.grift 112 47 4875 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4840 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/3.grift,#(struct:srcloc 3.grift 112 47 4904 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4869 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/4.grift,#(struct:srcloc 4.grift 112 47 4899 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4864 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/5.grift,#(struct:srcloc 5.grift 112 47 4899 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4864 49))
/exp/blackscholes/constant-swap/mutant56/mutant56-static/6.grift,#(struct:srcloc 6.grift 112 47 4893 9),bug-loc,1, (#(struct:srcloc 6.grift 112 12 4858 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static.grift,#(struct:srcloc mutant59-static.grift 203 48 5849 9),bug-loc,1, (#(struct:srcloc mutant59-static.grift 203 9 5810 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/0.grift,#(struct:srcloc 0.grift 112 51 4953 9),bug-loc,1, (#(struct:srcloc 0.grift 112 12 4914 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/1.grift,#(struct:srcloc 1.grift 112 51 4940 9),bug-loc,1, (#(struct:srcloc 1.grift 112 12 4901 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/2.grift,#(struct:srcloc 2.grift 112 51 4917 9),bug-loc,1, (#(struct:srcloc 2.grift 112 12 4878 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/3.grift,#(struct:srcloc 3.grift 112 51 4869 9),bug-loc,1, (#(struct:srcloc 3.grift 112 12 4830 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/4.grift,#(struct:srcloc 4.grift 112 51 4864 9),bug-loc,1, (#(struct:srcloc 4.grift 112 12 4825 49))
/exp/blackscholes/constant-swap/mutant59/mutant59-static/5.grift,#(struct:srcloc 5.grift 112 51 4864 9),bug-loc,1, (#(struct:srcloc 5.grift 112 12 4825 49))
/exp/blackscholes/position-swap/mutant0/mutant0-dynamic.grift,#(struct:srcloc mutant0-dynamic.grift 8 7 130 172),grift-impl,1, (#(struct:srcloc mutant0-dynamic.grift 5 0 56 1971))
/exp/blackscholes/position-swap/mutant0/mutant0-static/0.grift,#(struct:srcloc 0.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 0.grift 3 0 60 1741))
/exp/blackscholes/position-swap/mutant0/mutant0-static/1.grift,#(struct:srcloc 1.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 1.grift 3 0 60 1737))
/exp/blackscholes/position-swap/mutant0/mutant0-static/2.grift,#(struct:srcloc 2.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 2.grift 3 0 60 1731))
/exp/blackscholes/position-swap/mutant0/mutant0-static/3.grift,#(struct:srcloc 3.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 3.grift 3 0 60 1731))
/exp/blackscholes/position-swap/mutant0/mutant0-static/4.grift,#(struct:srcloc 4.grift 4 8 131 180),grift-impl,1, (#(struct:srcloc 4.grift 3 0 60 1729))
